#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B06-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1241018
1,0.016,1249097.25
2,0.027,1270585.75
3,0.038,1503304.75
4,0.049,2010335.5
5,0.060,2541815.5
6,0.071,2856646
7,0.082,2880146.75
8,0.093,2525643.75
9,0.104,1934362
10,0.115,1439782.375
11,0.126,1192919.875
12,0.137,1128536.375
13,0.147,1128865.5
14,0.158,1148960.5
15,0.169,1162867
16,0.180,1174544.125
17,0.191,1191703.875
18,0.202,1216419.625
19,0.213,1239232.375
20,0.224,1262225.5
21,0.235,1284648.5
22,0.246,1301613
23,0.257,1315216.125
24,0.268,1322510.125
25,0.279,1330883.875
26,0.290,1334274.375
27,0.301,1331788
28,0.312,1327570.875
29,0.323,1323315.25
30,0.334,1284506.125
31,0.345,1152424.5
32,0.355,929192.4375
33,0.366,660680.125
34,0.377,394519.65625
35,0.388,186982.171875
36,0.399,96120.40625
37,0.410,108826.265625
38,0.421,184881.296875
39,0.432,304655.9375
40,0.443,450002.5
41,0.454,600299.3125
42,0.465,727797.1875
43,0.476,821455.4375
44,0.487,883639.5
45,0.498,928095.25
46,0.509,967281.8125
47,0.520,1004492.5625
48,0.531,1042956.9375
49,0.542,1078246.125
50,0.552,1107448.5
51,0.563,1129809.625
52,0.574,1154810
53,0.585,1177664.25
54,0.596,1190176.25
55,0.607,1202033
56,0.618,1213204.75
57,0.629,1216154.625
58,0.640,1216203.25
59,0.651,1225763.5
60,0.662,1233635.125
61,0.673,1248878.5
62,0.684,1267652.625
63,0.695,1285331.875
64,0.706,1296325.625
65,0.717,1310337.875
66,0.728,1311251.75
67,0.739,1312965.25
68,0.750,1313200.625
69,0.760,1310965.25
70,0.771,1294296.875
71,0.782,1277636.375
72,0.793,1257360.125
73,0.804,1242804.25
74,0.815,1232370.125
75,0.826,1237810
76,0.837,1250690.375
77,0.848,1267271.5
78,0.859,1280757.25
79,0.870,1297607.75
80,0.881,1303200.125
81,0.892,1307703.25
82,0.903,1319159.375
83,0.914,1339973
84,0.925,1374752.625
85,0.936,1432002
86,0.947,1499365.375
87,0.957,1558763
88,0.968,1601032.375
89,0.979,1613385.125
90,0.990,1602233.875
91,1.001,1576469.5
92,1.012,1552966
93,1.023,1528588.875
94,1.034,1514281.875
95,1.045,1505999.25
96,1.056,1497535.125
97,1.067,1500681.875
98,1.078,1507258.5
99,1.089,1506990
100,1.100,1495168.75
101,1.111,1482255.25
102,1.122,1457567.25
103,1.133,1450884.25
104,1.144,1458784.75
105,1.155,1481276.375
106,1.165,1504170.375
107,1.176,1522724.75
108,1.187,1532867
109,1.198,1533353.75
110,1.209,1528631.125
111,1.220,1523684
112,1.231,1514658.125
113,1.242,1492464.75
114,1.253,1474009.5
115,1.264,1451326.625
116,1.275,1437570.375
117,1.286,1430980.75
118,1.297,1439649.75
119,1.308,1447110.625
120,1.319,1461749.75
121,1.330,1476313.375
122,1.341,1491989.375
123,1.352,1502278.375
124,1.362,1517403.625
125,1.373,1535115.5
126,1.384,1567549.375
127,1.395,1590474.375
128,1.406,1614840.75
129,1.417,1623358.625
130,1.428,1636724.75
131,1.439,1678641.375
132,1.450,1792351.5
133,1.461,1950485.625
134,1.472,2155546.75
135,1.483,2384809.25
136,1.494,2571811.25
137,1.505,2696051
138,1.516,2767107
139,1.527,2826117.25
140,1.538,2891431.25
141,1.549,3045504.5
142,1.559,3305404
143,1.570,3625812.75
144,1.581,3926488.25
145,1.592,4130560.25
146,1.603,4195215
147,1.614,4137713.5
148,1.625,4009640
149,1.636,3866691.25
150,1.647,3754456.25
151,1.658,3692109.75
152,1.669,3655038
153,1.680,3630643.75
154,1.691,3614537.25
155,1.702,3601868.75
156,1.713,3565782
157,1.724,3494280.25
158,1.735,3407977.75
159,1.746,3306278
160,1.757,3221302.25
161,1.767,3161276.5
162,1.778,3137116
163,1.789,3127384
164,1.800,3112093
165,1.811,3108919.5
166,1.822,3098992.25
167,1.833,3094143
168,1.844,3083434.25
169,1.855,3078179.5
170,1.866,3043849.25
171,1.877,3013898.75
172,1.888,2976179.5
173,1.899,2943624.5
174,1.910,2928142.25
175,1.921,2921176.75
176,1.932,2926612.25
177,1.943,2968238.5
178,1.954,3016136.5
179,1.964,3068762.5
180,1.975,3142656.75
181,1.986,3245315.5
182,1.997,3357502
183,2.008,3512947.25
184,2.019,3680295
185,2.030,3858671.75
186,2.041,4010049
187,2.052,4129397.5
188,2.063,4254831.5
189,2.074,4417978
190,2.085,4636657.5
191,2.096,4937201.5
192,2.107,5289079
193,2.118,5680296
194,2.129,6066558.5
195,2.140,6457148
196,2.151,6746210
197,2.162,6908126.5
198,2.172,6903735.5
199,2.183,6880579
200,2.194,6885715
201,2.205,7013495
202,2.216,7299614.5
203,2.227,7688427.5
204,2.238,8056675
205,2.249,8314519.5
206,2.260,8515409
207,2.271,8644995
208,2.282,8696289
