#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_H-r005.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1263381.25
1,0.016,1246288.375
2,0.027,1276615.375
3,0.038,1528429.25
4,0.049,2051086.875
5,0.060,2595213
6,0.071,2903040
7,0.082,2912541
8,0.093,2524142.25
9,0.104,1907214.75
10,0.115,1385611.75
11,0.126,1136742.625
12,0.137,1077065.25
13,0.147,1087688.5
14,0.158,1119267.875
15,0.169,1157848.125
16,0.180,1181717.625
17,0.191,1198165.5
18,0.202,1215001.5
19,0.213,1224771
20,0.224,1235769.5
21,0.235,1246668.5
22,0.246,1264040.375
23,0.257,1279714.75
24,0.268,1288021.5
25,0.279,1296003.125
26,0.290,1304944.25
27,0.301,1311128
28,0.312,1312027
29,0.323,1319107.125
30,0.334,1313221.75
31,0.345,1252871.25
32,0.355,1105683
33,0.366,895046.875
34,0.377,662825.25
35,0.388,473514.5
36,0.399,405350.65625
37,0.410,504331.34375
38,0.421,726742.375
39,0.432,984859.5
40,0.443,1209223.625
41,0.454,1360219.25
42,0.465,1410430
43,0.476,1388156.375
44,0.487,1340370
45,0.498,1300764.5
46,0.509,1277742
47,0.520,1275161.875
48,0.531,1281566.75
49,0.542,1291505.5
50,0.552,1289619.25
51,0.563,1289584.75
52,0.574,1284950
53,0.585,1281055.75
54,0.596,1273076.25
55,0.607,1274335.125
56,0.618,1263623.125
57,0.629,1258443.5
58,0.640,1256434.125
59,0.651,1267623.875
60,0.662,1274865.25
61,0.673,1288071.125
62,0.684,1295199
63,0.695,1300695.875
64,0.706,1294549.75
65,0.717,1291194.75
66,0.728,1289473.75
67,0.739,1279534.125
68,0.750,1261929.75
69,0.760,1244290.75
70,0.771,1231702.875
71,0.782,1220962
72,0.793,1226183.75
73,0.804,1235091.125
74,0.815,1250733.875
75,0.826,1264954.875
76,0.837,1277172
77,0.848,1290467.5
78,0.859,1300941.25
79,0.870,1313957.5
80,0.881,1319683.75
81,0.892,1325846.875
82,0.903,1322132.375
83,0.914,1319927
84,0.925,1305329.5
85,0.936,1309159.5
86,0.947,1325224.125
87,0.957,1364381.5
88,0.968,1408361.375
89,0.979,1454634.5
90,0.990,1487072.375
91,1.001,1514628.625
92,1.012,1520801.125
93,1.023,1521921.375
94,1.034,1530289.25
95,1.045,1530318
96,1.056,1516924.75
97,1.067,1505086.625
98,1.078,1487475.5
99,1.089,1459532.625
100,1.100,1446773.25
101,1.111,1444111.125
102,1.122,1447286.875
103,1.133,1461663.25
104,1.144,1483117.875
105,1.155,1498529.375
106,1.165,1513945.5
107,1.176,1527119.25
108,1.187,1529428
109,1.198,1526519
110,1.209,1521537.5
111,1.220,1513625.875
112,1.231,1500126.5
113,1.242,1493294
114,1.253,1483677.25
115,1.264,1477201.25
116,1.275,1477436.25
117,1.286,1485699.125
118,1.297,1493584.25
119,1.308,1509716.625
120,1.319,1522483.625
121,1.330,1533903.5
122,1.341,1536333.5
123,1.352,1536615.5
124,1.362,1533541.125
125,1.373,1533124.25
126,1.384,1528227.5
127,1.395,1529286.875
128,1.406,1539208.75
129,1.417,1560605.375
130,1.428,1589146.875
131,1.439,1649672
132,1.450,1761603.125
133,1.461,1927906.75
134,1.472,2121935.75
135,1.483,2335978.5
136,1.494,2536023.5
137,1.505,2697317
138,1.516,2822703.25
139,1.527,2946652.25
140,1.538,3058508.75
141,1.549,3153209.25
142,1.559,3254366.25
143,1.570,3328118
144,1.581,3403472.5
145,1.592,3468985.25
146,1.603,3522593
147,1.614,3560725
148,1.625,3599479.25
149,1.636,3628270.75
150,1.647,3638360.25
151,1.658,3628592.5
152,1.669,3595667.5
153,1.680,3573777
154,1.691,3517693.75
155,1.702,3453424
156,1.713,3376495.25
157,1.724,3298619.5
158,1.735,3206324
159,1.746,3159410.25
160,1.757,3155970.75
161,1.767,3169231.25
162,1.778,3192664.5
163,1.789,3227456.5
164,1.800,3250489.75
165,1.811,3270923
166,1.822,3294225.5
167,1.833,3300774
168,1.844,3285709.25
169,1.855,3242541
170,1.866,3182100.5
171,1.877,3121030.25
172,1.888,3051589.75
173,1.899,3010264.25
174,1.910,2985116.25
175,1.921,2981040.25
176,1.932,2990918.25
177,1.943,3016228.25
178,1.954,3056324.5
179,1.964,3113342
180,1.975,3184867.75
181,1.986,3271264
182,1.997,3375314.75
183,2.008,3464889.25
184,2.019,3541567.5
185,2.030,3610183.25
186,2.041,3701271.5
187,2.052,3822992.5
188,2.063,4004620.5
189,2.074,4259962
190,2.085,4578789.5
191,2.096,4944737
192,2.107,5345660
193,2.118,5750155.5
194,2.129,6139728
195,2.140,6533470
196,2.151,6903477.5
197,2.162,7263129
198,2.172,7534562
199,2.183,7745796.5
200,2.194,7894293
201,2.205,8027364.5
202,2.216,8156768
203,2.227,8333648
204,2.238,8506352
205,2.249,8658088
206,2.260,8766330
207,2.271,8854841
208,2.282,8908763
209,2.293,8931302
210,2.304,8921270
211,2.315,8895496
212,2.326,8843010
213,2.337,8725356
214,2.348,8581812
215,2.359,8434171
216,2.369,8272608
217,2.380,8107786
218,2.391,7984944
219,2.402,7848414.5
220,2.413,7642515.5
221,2.424,7384802
222,2.435,7020967.5
223,2.446,6700719
224,2.457,6365015.5
225,2.468,6106910.5
226,2.479,5874977.5
227,2.490,5696992.5
228,2.501,5435255.5
229,2.512,5190996
230,2.523,4923900.5
231,2.534,4673153
232,2.545,4450488
233,2.556,4254660
234,2.567,4058019.5
235,2.577,3893780.5
236,2.588,3753221.5
237,2.599,3611540.5
238,2.610,3494283.5
239,2.621,3403235.5
240,2.632,3312046
241,2.643,3208657.75
242,2.654,3103833.75
243,2.665,2987654.5
244,2.676,2866362
245,2.687,2754199.75
246,2.698,2676571.5
247,2.709,2605410.5
248,2.720,2546056.75
249,2.731,2499464.75
250,2.742,2448496
251,2.753,2407229.5
252,2.764,2376824.75
253,2.774,2356918.75
254,2.785,2341725.25
255,2.796,2333905.5
256,2.807,2324571.25
257,2.818,2311957
258,2.829,2310023.75
259,2.840,2313380.25
260,2.851,2315154
261,2.862,2320801
262,2.873,2326499.25
263,2.884,2317491
264,2.895,2306224.5
265,2.906,2294728.75
266,2.917,2282439
267,2.928,2268894.25
268,2.939,2265189
269,2.950,2276974
270,2.961,2290805.75
271,2.972,2281641.5
272,2.982,2275683.25
273,2.993,2268271
274,3.004,2250232.25
275,3.015,2255230.5
276,3.026,2279010.25
277,3.037,2307423.5
278,3.048,2343410
279,3.059,2387606.5
280,3.070,2460249.5
281,3.081,2595792.75
282,3.092,2921547
283,3.103,3201227.75
284,3.114,3394102.75
285,3.125,3506666.5
286,3.136,3559369.5
287,3.147,3507575
288,3.158,3580156
289,3.169,3735862.75
290,3.179,3860833.5
291,3.190,3931306
292,3.201,3920673.5
293,3.212,3856692.5
294,3.223,3765433
295,3.234,3656090.75
296,3.245,3551668.75
297,3.256,3462410.75
298,3.267,3368408.5
299,3.278,3255541.25
300,3.289,3151328.5
301,3.300,3039553.75
302,3.311,2953687.25
303,3.322,2915094.5
304,3.333,2919960.25
305,3.344,2935853.75
306,3.355,2963121.25
307,3.366,2976695
308,3.376,2992057.25
309,3.387,2997344.75
310,3.398,3017015.25
311,3.409,3034168.75
312,3.420,3063854.5
313,3.431,3086024
314,3.442,3115640.5
315,3.453,3127792
316,3.464,3137512.25
317,3.475,3127045.75
318,3.486,3091309.75
319,3.497,3034384.5
320,3.508,2971575
321,3.519,2929487.5
322,3.530,2921078
323,3.541,2935781
324,3.552,2955492.75
325,3.563,2980664.5
326,3.574,2994565
327,3.584,3012859
328,3.595,3031148.75
329,3.606,3057378.5
330,3.617,3077894.25
331,3.628,3083291
332,3.639,3077033.75
333,3.650,3084918.5
334,3.661,3105919.25
335,3.672,3106310.5
336,3.683,3206262.25
337,3.694,3146145.5
