#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_L-r003.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1236495.5
1,0.016,1288366.125
2,0.027,1271420.875
3,0.038,1544738.5
4,0.049,2159897.5
5,0.060,2769953.25
6,0.071,3166034.75
7,0.082,3204147.5
8,0.093,2790943
9,0.104,2079842.125
10,0.115,1506281.5
11,0.126,1190149
12,0.137,1111531.625
13,0.147,1117951.875
14,0.158,1144967
15,0.169,1176127.25
16,0.180,1203578.875
17,0.191,1228290.5
18,0.202,1248050
19,0.213,1262964.875
20,0.224,1291858.75
21,0.235,1311901.375
22,0.246,1328525.25
23,0.257,1344822.125
24,0.268,1355011.5
25,0.279,1345308.625
26,0.290,1343601
27,0.301,1345302
28,0.312,1350278.875
29,0.323,1355835.625
30,0.334,1357796.75
31,0.345,1313661.75
32,0.355,1169451.25
33,0.366,946462
34,0.377,700408.0625
35,0.388,495326.96875
36,0.399,411523.3125
37,0.410,503007.875
38,0.421,732321
39,0.432,1029761.8125
40,0.443,1287793.75
41,0.454,1459104
42,0.465,1519743
43,0.476,1491442.625
44,0.487,1421672.125
45,0.498,1370312.75
46,0.509,1340734.125
47,0.520,1336222.125
48,0.531,1334683.5
49,0.542,1331722.625
50,0.552,1325604.375
51,0.563,1316916.375
52,0.574,1308224.125
53,0.585,1299651.875
54,0.596,1283844.625
55,0.607,1273487.875
56,0.618,1266101
57,0.629,1253608.375
58,0.640,1250521.875
59,0.651,1253948.75
60,0.662,1262502.125
61,0.673,1272716.125
62,0.684,1285240
63,0.695,1291131.625
64,0.706,1294046.875
65,0.717,1287256.375
66,0.728,1289560.375
67,0.739,1289487.25
68,0.750,1291178.5
69,0.760,1280717.5
70,0.771,1267096.125
71,0.782,1249348.125
72,0.793,1245822.5
73,0.804,1244287.5
74,0.815,1258492.375
75,0.826,1271830.125
76,0.837,1286967.25
77,0.848,1303217.25
78,0.859,1321558.125
79,0.870,1336603.75
80,0.881,1348440.875
81,0.892,1352688.375
82,0.903,1355855.125
83,0.914,1366596.625
84,0.925,1384596.875
85,0.936,1412596.875
86,0.947,1441428.875
87,0.957,1469356.875
88,0.968,1497690.5
89,0.979,1518739.75
90,0.990,1531794.375
91,1.001,1549763
92,1.012,1556885.375
93,1.023,1567794.25
94,1.034,1581666.375
95,1.045,1586730.25
96,1.056,1579117.5
97,1.067,1571802.25
98,1.078,1546560.875
99,1.089,1512176.25
100,1.100,1492249.5
101,1.111,1474391.125
102,1.122,1460127
103,1.133,1456721.375
104,1.144,1473044.375
105,1.155,1487844.25
106,1.165,1509564.25
107,1.176,1529530.875
108,1.187,1544504.875
109,1.198,1543291.5
110,1.209,1546999
111,1.220,1536362.25
112,1.231,1527077.5
